,DKS_init,det
160,(0.6229073352147685-0.1995710513403663j),-2555006428.571428
161,(0.484107402593085-0.13151580793598164j),-2555006428.571428
162,(0.33946183058393214+0.0475841837678179j),-2555006428.571428
163,(0.4422738550470543+0.0996380122498315j),-2555006428.571428
164,(0.682469390933206+0.03972453024817781j),-2555006428.571428
165,(0.6866147958725295-0.05433894767194676j),-2555006428.571428
166,(0.46294262330998676-0.1488998156798009j),-2555006428.571428
167,(0.35835298085536527-0.11866540325253994j),-2555006428.571428
168,(0.46394204012614465+0.07997336721598455j),-2555006428.571428
169,(0.5868151584802339+0.17403654661155515j),-2555006428.571428
170,(0.6280479146074815-0.020530654083973098j),-2555006428.571428
171,(0.593281838276306-0.2145274437872735j),-2555006428.571428
172,(0.4621243399568292-0.12222643858879632j),-2555006428.571428
173,(0.35010887606707325+0.07762475069793141j),-2555006428.571428
174,(0.46749087520507343+0.11198621143049839j),-2555006428.571428
175,(0.6948336535830598+0.01288559638440724j),-2555006428.571428
176,(0.6758744606270395-0.0843522906733287j),-2555006428.571428
177,(0.4377989447886854-0.140060834940874j),-2555006428.571428
178,(0.3460634345799409-0.08736721714335778j),-2555006428.571428
179,(0.48320685855393863+0.09153145351588515j),-2555006428.571428
180,(0.6170728003803485+0.16014754605212222j),-2555006428.571428
181,(0.6290698303843346-0.04216924597673997j),-2555006428.571428
182,(0.5606560271164428-0.22598113804738246j),-2555006428.571428
183,(0.4411020797012414-0.10752764174157348j),-2555006428.571428
184,(0.36759630994488995+0.10654996780977306j),-2555006428.571428
185,(0.49458562301610876+0.11753360770305288j),-2555006428.571428
186,(0.7006780299752778-0.015772654060096057j),-2555006428.571428
187,(0.6611173460230894-0.11018926989446674j),-2555006428.571428
188,(0.41521545824161704-0.12835283924472812j),-2555006428.571428
189,(0.33724318306209833-0.05472292670693136j),-2555006428.571428
190,(0.5056090289921226+0.10154822154680282j),-2555006428.571428
191,(0.646079587429701+0.13961451353834356j),-2555006428.571428
192,(0.6237056701998128-0.06440231908786219j),-2555006428.571428
193,(0.526691813984368-0.2299800062200501j),-2555006428.571428
194,(0.4245309871194619-0.09000410922845448j),-2555006428.571428
195,(0.3888134932058625+0.13183886035756787j),-2555006428.571428
196,(0.5221219756249692+0.11901644519356784j),-2555006428.571428
197,(0.7025190973887363-0.04601894501904414j),-2555006428.571428
198,(0.6411292814245558-0.13358334539059308j),-2555006428.571428
199,(0.3943959549695631-0.1112607811389957j),-2555006428.571428
200,(0.3354179847557596-0.021700971618149874j),-2555006428.571428
201,(0.5287998600586923+0.1065584937669169j),-2555006428.571428
202,(0.6713028503165741+0.11570416224693937j),-2555006428.571428
203,(0.6150261267320504-0.0865894992757928j),-2555006428.571428
204,(0.4907119821393691-0.22883170026043734j),-2555006428.571428
205,(0.411750897471225-0.06810627027473706j),-2555006428.571428
206,(0.41560218620276507+0.15239364587663476j),-2555006428.571428
207,(0.5479297373176403+0.11382478185247004j),-2555006428.571428
208,(0.6980292774798499-0.07543529544408062j),-2555006428.571428
209,(0.6190929155483625-0.1532598913261448j),-2555006428.571428
210,(0.3753240999959725-0.09334282859921908j),-2555006428.571428
211,(0.3367724584700884+0.01212037260173935j),-2555006428.571428
212,(0.55530671451194+0.10707265558982382j),-2555006428.571428
213,(0.6907601302161518+0.08287140181160159j),-2555006428.571428
214,(0.5977260905714724-0.10713178675208747j),-2555006428.571428
215,(0.4564300269176332-0.22208505296368058j),-2555006428.571428
216,(0.40195221573275675-0.05067401178322278j),-2555006428.571428
217,(0.4396496700049099+0.16479032816181877j),-2555006428.571428
218,(0.5705432324954767+0.10130761431415877j),-2555006428.571428
219,(0.685623579562552-0.11412937856919439j),-2555006428.571428
220,(0.5841344748317889-0.17823105261104852j),-2555006428.571428
221,(0.35221523683718914-0.0797522928354443j),-2555006428.571428
222,(0.3365737290072896+0.027871296863255218j),-2555006428.571428
223,(0.565203799385039+0.08158923269185309j),-2555006428.571428
224,(0.6864229122113867+0.025630780213278873j),-2555006428.571428
225,(0.5563395823491085-0.15755376740103266j),-2555006428.571428
226,(0.3916862059339819-0.2528142565920253j),-2555006428.571428
227,(0.3559807848178865-0.08252013286310582j),-2555006428.571428
228,(0.4174569867993799+0.10458007547422934j),-2555006428.571428
229,(0.524097048235467-0.005840299824945023j),-2555006428.571428
230,(0.5793752518972392-0.2636778384720004j),-2555006428.571428
231,(0.43553100770918096-0.3424235818820027j),-2555006428.571428
232,(0.18751038491094404-0.252602715374197j),-2555006428.571428
233,(0.15005143165259732-0.20052170512302464j),-2555006428.571428
234,(0.32707591956496296-0.25958605503901194j),-2555006428.571428
235,(0.3544191680567099-0.4361386371875498j),-2555006428.571428
236,(0.09238814120895669-0.7224976381063891j),-2555006428.571428
237,(-0.21524513401849124-0.9451439787249699j),-2555006428.571428
238,(-0.39329429184652803-0.972325813829885j),-2555006428.571428
239,(-0.5221646120441555-1.0662262000298046j),-2555006428.571428
240,(-0.7208221551463843-1.5399715091940778j),-2555006428.571428
241,(-1.0842338276076715-2.2387335554082277j),-2555006428.571428
242,(-1.72028575577743-2.846249627081119j),-2555006428.571428
243,(-2.552993893990332-3.420032584338725j),-2555006428.571428
244,(-3.323822966630821-4.228204026450047j),-2555006428.571428
245,(-4.041893865354564-5.363465033244017j),-2555006428.571428
246,(-5.037927746343297-6.770177641592189j),-2555006428.571428
247,(-6.335485416614758-8.325142500543427j),-2555006428.571428
248,(-7.3838852833662445-9.66882033668589j),-2555006428.571428
249,(-7.5699287279044505-10.225909393838592j),-2555006428.571428
250,(-6.805180262539682-9.632713019882745j),-2555006428.571428
251,(-5.607559561933281-8.145990642931075j),-2555006428.571428
252,(-4.518425829093514-6.551236104698278j),-2555006428.571428
253,(-3.57787815635194-5.393996256921535j),-2555006428.571428
254,(-2.7029724290790873-4.448393784012522j),-2555006428.571428
255,(-2.082666456834556-3.388125325199188j),-2555006428.571428
256,(-1.721274550655769-2.451296305119334j),-2555006428.571428
257,(-1.25168583712962-1.887734651130173j),-2555006428.571428
258,(-0.6447419044024644-1.4935942958604245j),-2555006428.571428
259,(-0.34017522636398967-1.1364288943382166j),-2555006428.571428
260,(-0.3739677266180551-0.9402173642489843j),-2555006428.571428
261,(-0.28093692777271534-0.7901269433187909j),-2555006428.571428
262,(0.016429745290568117-0.4687592269751713j),-2555006428.571428
263,(0.1878277008956994-0.2030102976099j),-2555006428.571428
264,(0.2311933250788891-0.2862732123448762j),-2555006428.571428
265,(0.3247688248847415-0.43104007718896653j),-2555006428.571428
266,(0.34020156467924956-0.265374766153338j),-2555006428.571428
267,(0.23056662158021485-0.02381698962179975j),-2555006428.571428
268,(0.3021090633531419-0.02823531652668802j),-2555006428.571428
269,(0.5745419909159717-0.1087547821017153j),-2555006428.571428
270,(0.6151832364918242-0.09236784450112241j),-2555006428.571428
271,(0.37142117103662314-0.11345857342528046j),-2555006428.571428
272,(0.3031780752921863-0.14054658700378592j),-2555006428.571428
273,(0.49786367729008324+0.009185541072427058j),-2555006428.571428
274,(0.5893071401405133+0.1421351688888467j),-2555006428.571428
275,(0.52822632424059-0.025165606163318834j),-2555006428.571428
276,(0.5253697893864295-0.23051667366794054j),-2555006428.571428
277,(0.504889130972017-0.10525809314854345j),-2555006428.571428
278,(0.39107623856071566+0.11581403007661642j),-2555006428.571428
279,(0.43477095159047+0.07404640499763324j),-2555006428.571428
280,(0.6627459923001184-0.06392188961499452j),-2555006428.571428
281,(0.674970327775205-0.06791294671226049j),-2555006428.571428
282,(0.414133255051906-0.06288064641647362j),-2555006428.571428
283,(0.33627427683036204-0.08181659293126867j),-2555006428.571428
284,(0.5421719911079756+0.03413695386256549j),-2555006428.571428
285,(0.6417749086705343+0.14082650169709393j),-2555006428.571428
286,(0.5507433143697263-0.024125689696311223j),-2555006428.571428
287,(0.5102400736566292-0.22374057264903824j),-2555006428.571428
